Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,3.7143,14.8325,22.4112,10.3500
2,4.7664,12.7700,53.8126,10.0600
3,6.2614,11.5525,157.5184,10.2500
4,6.4728,12.0900,24.4577,10.3500
5,3.5573,14.1775,6.4790,10.5700
6,3.4251,13.8750,6.6105,10.6400
7,3.9918,13.6475,9.2879,12.2900
8,5.4971,12.0775,28.2567,9.9900
9,5.1271,13.1050,8.2577,9.9900
10,5.3146,12.9175,17.4006,10.6400
11,6.6428,11.8850,42.3777,9.7300
12,5.7965,11.7300,69.0649,10.2400
13,6.5048,12.1725,35.5510,10.1900
14,6.6207,11.6200,12.8701,9.9300
15,5.1832,12.4700,32.5322,9.7300
16,7.0203,11.7850,23.6067,10.3500
17,4.2716,12.8975,5.7693,9.5800
18,5.3551,12.7125,17.6006,10.2400
19,5.2928,12.3875,63.2472,10.0600
20,6.0212,11.9200,29.6089,10.1000
21,4.7643,12.3375,60.8185,9.9800
22,6.0576,12.3625,32.6596,10.5500
23,5.2353,12.8725,34.5614,11.3400
24,4.7543,13.0375,205.5339,10.1000
25,5.4247,11.7250,27.2900,9.6700
26,5.2273,11.8950,147.3519,9.6700
27,4.7318,13.0525,20.2530,10.3600
28,3.9963,13.8725,17.6085,9.9800
29,4.0538,13.2500,69.7630,9.6700
30,4.4581,12.9450,46.7418,10.2500
31,5.8674,11.7350,149.5243,10.1000
32,6.0101,12.0800,12.2307,10.7000
33,4.5239,12.8475,15.8515,10.0600
34,4.4841,12.9450,41.8655,10.2500
35,4.3263,12.5825,62.9084,10.3500
36,5.5164,12.1125,25.0946,9.6300
37,5.5635,12.3325,10.8196,9.9800
38,3.9589,13.0025,27.6988,9.9800
39,3.3271,14.6400,30.9916,9.6700
40,4.0030,13.1075,8.4294,10.6800
41,4.3371,12.9150,67.2802,9.9900
42,4.9994,12.9375,23.9656,9.7000
43,5.4121,11.8825,15.5367,10.7600
44,5.7630,11.9300,50.1771,11.6600
45,7.7154,11.3350,8.8937,9.9900
46,5.9666,12.0950,104.3477,9.9800
47,5.2849,12.5325,43.4442,9.9800
48,5.2378,12.7125,23.6316,10.6100
49,5.0342,12.5375,24.6402,10.6300
50,3.4321,14.2475,4.2424,9.7000
